noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
smooth,pca,y,smooth,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
smooth,pca,y,bandpass,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
smooth,pca,y,wavelet,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
bandpass,none,xy,none,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,xy,smooth,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,xy,bandpass,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,xy,wavelet,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
wavelet,ica,yz,none,none,wavelet,"0,42698","33,195703","6,071993","21,041567","33,195703","12,901617"
wavelet,ica,yz,smooth,none,wavelet,"0,42698","33,195703","6,071993","21,041567","33,195703","12,901617"
wavelet,ica,yz,bandpass,none,wavelet,"0,42698","33,195703","6,071993","21,041567","33,195703","12,901617"
wavelet,ica,yz,wavelet,none,wavelet,"0,42698","33,195703","6,071993","21,041567","33,195703","12,901617"
wavelet,ica,yz,none,abs,wavelet,"0,017258","54,577358","6,071993","27,456063","54,577358","17,9867"
wavelet,ica,yz,smooth,abs,wavelet,"0,017258","54,577358","6,071993","27,456063","54,577358","17,9867"
wavelet,ica,yz,bandpass,abs,wavelet,"0,017258","54,577358","6,071993","27,456063","54,577358","17,9867"
wavelet,ica,yz,wavelet,abs,wavelet,"0,017258","54,577358","6,071993","27,456063","54,577358","17,9867"
bandpass,pca,xyz,none,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
bandpass,pca,xyz,smooth,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
bandpass,pca,xyz,bandpass,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
bandpass,pca,xyz,wavelet,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
none,pca,x,none,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
none,pca,x,smooth,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
none,pca,x,bandpass,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
none,pca,x,wavelet,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
