noise_removal1,transformation,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
smooth,none,ica,z,bandpass,abs,wavelet,"0,670977","63,372607","5,71796","31,176322","63,372607","19,912656"
smooth,none,ica,z,wavelet,none,wavelet,"0,670977","57,149099","5,71796","29,30927","57,149099","18,282396"
smooth,none,ica,z,wavelet,abs,wavelet,"0,670977","63,372607","5,71796","31,176322","63,372607","19,912656"
bandpass,abs,pca,xz,none,none,corr,"0,637424","16,700784","5,729236","16,284409","16,700784","9,613246"
bandpass,abs,pca,xz,smooth,none,corr,"0,637424","16,700784","5,729236","16,284409","16,700784","9,613246"
bandpass,abs,pca,xz,bandpass,none,corr,"0,637424","16,700784","5,729236","16,284409","16,700784","9,613246"
bandpass,abs,pca,xz,wavelet,none,corr,"0,637424","16,700784","5,729236","16,284409","16,700784","9,613246"
wavelet,none,pca,z,none,abs,fft,"0,495695","33,992651","5,749423","28,743018","33,992651","14,179078"
wavelet,none,pca,z,smooth,abs,fft,"0,495695","33,992651","5,749423","28,743018","33,992651","14,179078"
wavelet,none,pca,z,bandpass,abs,fft,"0,495695","33,992651","5,749423","28,743018","33,992651","14,179078"
wavelet,none,pca,z,wavelet,abs,fft,"0,495695","33,992651","5,749423","28,743018","33,992651","14,179078"
smooth,none,none,y,none,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,none,none,y,smooth,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,none,none,y,bandpass,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,none,none,y,wavelet,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,none,none,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,none,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,smooth,none,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,smooth,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,bandpass,none,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,bandpass,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,wavelet,none,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,abs,none,y,wavelet,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
wavelet,none,none,xy,none,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,none,xy,smooth,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,none,xy,bandpass,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,none,xy,wavelet,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,ica,xyz,none,abs,wavelet,"0,361249","55,382054","5,853378","28,439236","55,382054","18,27065"
wavelet,none,ica,xyz,smooth,abs,wavelet,"0,361249","55,382054","5,853378","28,439236","55,382054","18,27065"
wavelet,none,ica,xyz,bandpass,abs,wavelet,"0,361249","55,382054","5,853378","28,439236","55,382054","18,27065"
wavelet,none,ica,xyz,wavelet,abs,wavelet,"0,361249","55,382054","5,853378","28,439236","55,382054","18,27065"
wavelet,abs,pca,z,none,abs,wavelet,"0,560964","56,931901","5,913024","34,677321","56,931901","19,378735"
wavelet,abs,pca,z,smooth,abs,wavelet,"0,560964","56,931901","5,913024","34,677321","56,931901","19,378735"
wavelet,abs,pca,z,bandpass,abs,wavelet,"0,560964","56,931901","5,913024","34,677321","56,931901","19,378735"
wavelet,abs,pca,z,wavelet,abs,wavelet,"0,560964","56,931901","5,913024","34,677321","56,931901","19,378735"
bandpass,none,none,x,none,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
bandpass,none,none,x,smooth,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
bandpass,none,none,x,bandpass,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
bandpass,none,none,x,wavelet,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
wavelet,abs,ica,yz,none,none,wavelet,"2,51812","57,131833","5,955329","29,261293","57,131833","18,525118"
wavelet,abs,ica,yz,none,abs,wavelet,"2,51812","58,224678","5,955329","29,054855","58,224678","18,827361"
wavelet,abs,ica,yz,smooth,none,wavelet,"2,51812","57,131833","5,955329","29,261293","57,131833","18,525118"
wavelet,abs,ica,yz,smooth,abs,wavelet,"2,51812","58,224678","5,955329","29,054855","58,224678","18,827361"
wavelet,abs,ica,yz,bandpass,none,wavelet,"2,51812","57,131833","5,955329","29,261293","57,131833","18,525118"
wavelet,abs,ica,yz,bandpass,abs,wavelet,"2,51812","58,224678","5,955329","29,054855","58,224678","18,827361"
wavelet,abs,ica,yz,wavelet,none,wavelet,"2,51812","57,131833","5,955329","29,261293","57,131833","18,525118"
wavelet,abs,ica,yz,wavelet,abs,wavelet,"2,51812","58,224678","5,955329","29,054855","58,224678","18,827361"
none,none,ica,z,none,none,wavelet,"0,606318","18,255823","5,982559","14,663373","18,255823","8,685516"
none,none,ica,z,smooth,none,wavelet,"0,606318","18,255823","5,982559","14,663373","18,255823","8,685516"
none,none,ica,z,bandpass,none,wavelet,"0,606318","18,255823","5,982559","14,663373","18,255823","8,685516"
none,none,ica,z,wavelet,none,wavelet,"0,606318","18,255823","5,982559","14,663373","18,255823","8,685516"
smooth,none,ica,xz,none,abs,wavelet,"0,03028","59,297401","5,985202","30,171025","59,297401","18,970697"
smooth,none,ica,xz,smooth,abs,wavelet,"0,03028","59,297401","5,985202","30,171025","59,297401","18,970697"
smooth,none,ica,xz,bandpass,abs,wavelet,"0,03028","59,297401","5,985202","30,171025","59,297401","18,970697"
smooth,none,ica,xz,wavelet,abs,wavelet,"0,03028","59,297401","5,985202","30,171025","59,297401","18,970697"
bandpass,none,ica,x,none,none,corr,"3,979655","17,503969","5,988398","15,343478","17,503969","9,378106"
bandpass,none,ica,x,smooth,none,corr,"3,979655","17,503969","5,988398","15,343478","17,503969","9,378106"
bandpass,none,ica,x,bandpass,none,corr,"3,979655","17,503969","5,988398","15,343478","17,503969","9,378106"
bandpass,none,ica,x,wavelet,none,corr,"3,979655","17,503969","5,988398","15,343478","17,503969","9,378106"
bandpass,none,ica,xz,none,none,corr,"1,094571","19,574117","6,016202","14,722475","19,574117","9,001393"
bandpass,none,ica,xz,smooth,none,corr,"1,094571","19,574117","6,016202","14,722475","19,574117","9,001393"
bandpass,none,ica,xz,bandpass,none,corr,"1,094571","19,574117","6,016202","14,722475","19,574117","9,001393"
bandpass,none,ica,xz,wavelet,none,corr,"1,094571","19,574117","6,016202","14,722475","19,574117","9,001393"
smooth,none,pca,y,none,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
smooth,none,pca,y,smooth,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
smooth,none,pca,y,bandpass,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
smooth,none,pca,y,wavelet,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
bandpass,none,none,xy,none,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,none,xy,smooth,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,none,xy,bandpass,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,none,xy,wavelet,none,corr,"1,875839","19,231233","6,033419","16,013809","19,231233","8,655705"
bandpass,none,pca,xyz,none,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
bandpass,none,pca,xyz,smooth,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
bandpass,none,pca,xyz,bandpass,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
bandpass,none,pca,xyz,wavelet,none,corr,"0,040384","16,555607","6,093663","14,288854","16,555607","8,631217"
wavelet,none,ica,x,none,none,wavelet,"0,290238","44,787091","6,149329","25,496175","44,787091","15,5958"
wavelet,none,ica,x,none,abs,wavelet,"0,290238","56,991447","6,149329","30,228178","56,991447","18,907037"
wavelet,none,ica,x,smooth,none,wavelet,"0,290238","44,787091","6,149329","25,496175","44,787091","15,5958"
wavelet,none,ica,x,smooth,abs,wavelet,"0,290238","56,991447","6,149329","30,228178","56,991447","18,907037"
wavelet,none,ica,x,bandpass,none,wavelet,"0,290238","44,787091","6,149329","25,496175","44,787091","15,5958"
wavelet,none,ica,x,bandpass,abs,wavelet,"0,290238","56,991447","6,149329","30,228178","56,991447","18,907037"
wavelet,none,ica,x,wavelet,none,wavelet,"0,290238","44,787091","6,149329","25,496175","44,787091","15,5958"
wavelet,none,ica,x,wavelet,abs,wavelet,"0,290238","56,991447","6,149329","30,228178","56,991447","18,907037"
bandpass,none,ica,xyz,none,none,corr,"0,100466","18,878691","6,167848","14,509802","18,878691","9,078657"
bandpass,none,ica,xyz,smooth,none,corr,"0,100466","18,878691","6,167848","14,509802","18,878691","9,078657"
bandpass,none,ica,xyz,bandpass,none,corr,"0,100466","18,878691","6,167848","14,509802","18,878691","9,078657"
bandpass,none,ica,xyz,wavelet,none,corr,"0,100466","18,878691","6,167848","14,509802","18,878691","9,078657"
smooth,abs,ica,xz,none,none,wavelet,"1,720036","58,229211","6,188147","38,389697","58,229211","20,024768"
smooth,abs,ica,xz,none,abs,wavelet,"1,720036","58,027438","6,188147","30,288159","58,027438","18,812093"
smooth,abs,ica,xz,smooth,none,wavelet,"1,720036","58,229211","6,188147","38,389697","58,229211","20,024768"
smooth,abs,ica,xz,smooth,abs,wavelet,"1,720036","58,027438","6,188147","30,288159","58,027438","18,812093"
smooth,abs,ica,xz,bandpass,none,wavelet,"1,720036","58,229211","6,188147","38,389697","58,229211","20,024768"
smooth,abs,ica,xz,bandpass,abs,wavelet,"1,720036","58,027438","6,188147","30,288159","58,027438","18,812093"
smooth,abs,ica,xz,wavelet,none,wavelet,"1,720036","58,229211","6,188147","38,389697","58,229211","20,024768"
smooth,abs,ica,xz,wavelet,abs,wavelet,"1,720036","58,027438","6,188147","30,288159","58,027438","18,812093"
none,none,pca,x,none,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
none,none,pca,x,smooth,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
none,none,pca,x,bandpass,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
none,none,pca,x,wavelet,none,wavelet,"0,035702","21,321268","6,223525","18,789927","21,321268","10,487547"
bandpass,none,pca,y,none,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
bandpass,none,pca,y,smooth,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
bandpass,none,pca,y,bandpass,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
bandpass,none,pca,y,wavelet,none,corr,"1,431276","20,807126","6,28245","15,57674","20,807126","9,356949"
none,none,pca,xz,none,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,none,pca,xz,smooth,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,none,pca,xz,bandpass,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,none,pca,xz,wavelet,none,wavelet,"0,687423","30,033141","6,287649","23,029889","30,033141","12,946819"
none,none,ica,xz,none,abs,wavelet,"0,458851","49,470186","6,292447","27,471755","49,470186","16,869637"
none,none,ica,xz,smooth,abs,wavelet,"0,458851","49,470186","6,292447","27,471755","49,470186","16,869637"
none,none,ica,xz,bandpass,abs,wavelet,"0,458851","49,470186","6,292447","27,471755","49,470186","16,869637"
none,none,ica,xz,wavelet,abs,wavelet,"0,458851","49,470186","6,292447","27,471755","49,470186","16,869637"
bandpass,none,ica,yz,none,none,corr,"0,923187","19,566051","6,329701","14,267612","19,566051","9,181025"
bandpass,none,ica,yz,smooth,none,corr,"0,923187","19,566051","6,329701","14,267612","19,566051","9,181025"
bandpass,none,ica,yz,bandpass,none,corr,"0,923187","19,566051","6,329701","14,267612","19,566051","9,181025"
bandpass,none,ica,yz,wavelet,none,corr,"0,923187","19,566051","6,329701","14,267612","19,566051","9,181025"
wavelet,none,ica,xy,none,abs,wavelet,"1,689636","54,363489","6,395233","28,190993","54,363489","18,27212"
wavelet,none,ica,xy,smooth,abs,wavelet,"1,689636","54,363489","6,395233","28,190993","54,363489","18,27212"
wavelet,none,ica,xy,bandpass,abs,wavelet,"1,689636","54,363489","6,395233","28,190993","54,363489","18,27212"
wavelet,none,ica,xy,wavelet,abs,wavelet,"1,689636","54,363489","6,395233","28,190993","54,363489","18,27212"
bandpass,abs,pca,x,none,none,corr,"1,089656","17,888768","6,417183","17,14719","17,888768","10,320049"
bandpass,abs,pca,x,smooth,none,corr,"1,089656","17,888768","6,417183","17,14719","17,888768","10,320049"
bandpass,abs,pca,x,bandpass,none,corr,"1,089656","17,888768","6,417183","17,14719","17,888768","10,320049"
bandpass,abs,pca,x,wavelet,none,corr,"1,089656","17,888768","6,417183","17,14719","17,888768","10,320049"
bandpass,none,pca,yz,none,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
bandpass,none,pca,yz,smooth,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
bandpass,none,pca,yz,bandpass,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
bandpass,none,pca,yz,wavelet,none,corr,"1,946765","14,504533","6,459535","14,494797","14,504533","8,687441"
wavelet,abs,pca,yz,none,abs,wavelet,"0,649203","57,787645","6,504122","32,67182","57,787645","19,414924"
wavelet,abs,pca,yz,smooth,abs,wavelet,"0,649203","57,787645","6,504122","32,67182","57,787645","19,414924"
wavelet,abs,pca,yz,bandpass,abs,wavelet,"0,649203","57,787645","6,504122","32,67182","57,787645","19,414924"
wavelet,abs,pca,yz,wavelet,abs,wavelet,"0,649203","57,787645","6,504122","32,67182","57,787645","19,414924"
bandpass,none,ica,z,none,none,corr,"1,418065","21,644266","6,518568","15,78658","21,644266","9,321718"
bandpass,none,ica,z,smooth,none,corr,"1,418065","21,644266","6,518568","15,78658","21,644266","9,321718"
bandpass,none,ica,z,bandpass,none,corr,"1,418065","21,644266","6,518568","15,78658","21,644266","9,321718"
bandpass,none,ica,z,wavelet,none,corr,"1,418065","21,644266","6,518568","15,78658","21,644266","9,321718"
wavelet,none,none,x,none,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
