noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max
none,pca,yz,wavelet,none,corr,0.966322,22.026226,11.971783,19.857293,22.026226
none,pca,yz,wavelet,none,wavelet,0.947079,41.174458,7.402507,23.771469,41.174458
none,pca,yz,wavelet,abs,fft,0.245853,35.993700,10.129646,33.368443,35.993700
none,pca,yz,wavelet,abs,corr,5.641209,27.213401,11.922930,24.278895,27.213401
none,pca,yz,wavelet,abs,wavelet,0.252150,56.020806,10.340053,28.665630,56.020806
none,pca,xz,none,none,fft,1.504305,60.241653,26.368569,55.692315,60.241653
none,pca,xz,none,none,corr,1.676003,20.956689,10.547971,20.176500,20.956689
none,pca,xz,none,none,wavelet,0.687423,30.033141,6.287649,23.029889,30.033141
none,pca,xz,none,abs,fft,0.495275,53.992441,11.623766,34.918874,53.992441
none,pca,xz,none,abs,corr,3.995836,27.098637,12.286300,23.771093,27.098637
none,pca,xz,none,abs,wavelet,0.398090,55.999294,10.595371,30.121447,55.999294
none,pca,xz,smooth,none,fft,1.504305,60.241653,26.368569,55.692315,60.241653
none,pca,xz,smooth,none,corr,1.676003,20.956689,10.547971,20.176500,20.956689
none,pca,xz,smooth,none,wavelet,0.687423,30.033141,6.287649,23.029889,30.033141
none,pca,xz,smooth,abs,fft,0.495275,53.992441,11.623766,34.918874,53.992441
none,pca,xz,smooth,abs,corr,3.995836,27.098637,12.286300,23.771093,27.098637
none,pca,xz,smooth,abs,wavelet,0.398090,55.999294,10.595371,30.121447,55.999294
none,pca,xz,bandpass,none,fft,1.504305,60.241653,26.368569,55.692315,60.241653
none,pca,xz,bandpass,none,corr,1.676003,20.956689,10.547971,20.176500,20.956689
none,pca,xz,bandpass,none,wavelet,0.687423,30.033141,6.287649,23.029889,30.033141
none,pca,xz,bandpass,abs,fft,0.495275,53.992441,11.623766,34.918874,53.992441
none,pca,xz,bandpass,abs,corr,3.995836,27.098637,12.286300,23.771093,27.098637
none,pca,xz,bandpass,abs,wavelet,0.398090,55.999294,10.595371,30.121447,55.999294
none,pca,xz,wavelet,none,fft,1.504305,60.241653,26.368569,55.692315,60.241653
none,pca,xz,wavelet,none,corr,1.676003,20.956689,10.547971,20.176500,20.956689
none,pca,xz,wavelet,none,wavelet,0.687423,30.033141,6.287649,23.029889,30.033141
none,pca,xz,wavelet,abs,fft,0.495275,53.992441,11.623766,34.918874,53.992441
none,pca,xz,wavelet,abs,corr,3.995836,27.098637,12.286300,23.771093,27.098637
none,pca,xz,wavelet,abs,wavelet,0.398090,55.999294,10.595371,30.121447,55.999294
none,pca,xyz,none,none,fft,7.495065,52.992651,27.743578,50.192651,52.992651
none,pca,xyz,none,none,corr,1.746101,21.436744,11.324826,20.222355,21.436744
none,pca,xyz,none,none,wavelet,0.944760,29.249231,7.386502,21.362487,29.249231
none,pca,xyz,none,abs,fft,0.495835,39.993420,10.744383,30.193763,39.993420
none,pca,xyz,none,abs,corr,5.182122,26.790233,12.153140,24.011686,26.790233
none,pca,xyz,none,abs,wavelet,0.613841,56.461188,10.426000,28.940112,56.461188
none,pca,xyz,smooth,none,fft,7.495065,52.992651,27.743578,50.192651,52.992651
none,pca,xyz,smooth,none,corr,1.746101,21.436744,11.324826,20.222355,21.436744
none,pca,xyz,smooth,none,wavelet,0.944760,29.249231,7.386502,21.362487,29.249231
none,pca,xyz,smooth,abs,fft,0.495835,39.993420,10.744383,30.193763,39.993420
none,pca,xyz,smooth,abs,corr,5.182122,26.790233,12.153140,24.011686,26.790233
none,pca,xyz,smooth,abs,wavelet,0.613841,56.461188,10.426000,28.940112,56.461188
none,pca,xyz,bandpass,none,fft,7.495065,52.992651,27.743578,50.192651,52.992651
none,pca,xyz,bandpass,none,corr,1.746101,21.436744,11.324826,20.222355,21.436744
none,pca,xyz,bandpass,none,wavelet,0.944760,29.249231,7.386502,21.362487,29.249231
